Climate_id,Daily_high_temperature,Daily_low_temperature,Daily_mean_tempera,Total_precip,Total_rain,Total_snow,Direction_max_gust,Speed_max_gust,Cooling_degree_days,Heating_degree_days
6106001,8.0,-1.0,4.0,2.0,2.0,0.0,17.0,45.0,0.0,14.0
6106001,2.0,-2.0,-0.0,2.0,0.0,4.0,32.0,80.0,0.0,18.0
6106001,0.0,-4.0,-2.0,0.0,0.0,0.0,31.0,65.0,0.0,20.0
6106001,14.0,-3.0,5.0,0.0,0.0,0.0,26.0,56.0,0.0,13.0
6106001,19.0,-1.0,9.0,0.0,0.0,0.0,22.0,48.0,0.0,9.0
6106001,18.0,8.0,13.0,0.0,0.0,0.0,20.0,37.0,0.0,5.0
6106001,21.0,9.0,15.0,0.0,0.0,0.0,22.0,33.0,0.0,3.0
6106001,22.0,6.0,14.0,0.0,0.0,0.0,22.0,34.0,0.0,4.0
6106001,22.0,6.0,14.0,0.0,0.0,0.0,23.0,36.0,0.0,4.0
6106001,23.0,9.0,16.0,0.0,0.0,0.0,23.0,37.0,0.0,2.0
6106001,20.0,2.0,11.0,1.0,1.0,0.0,28.0,54.0,0.0,7.0
6106001,8.0,-3.0,2.0,0.0,0.0,0.0,16.0,43.0,0.0,16.0
6106001,6.0,-4.0,1.0,0.0,0.0,0.0,5.0,32.0,0.0,17.0
6106001,5.0,-6.0,-0.0,0.0,0.0,0.0,28.0,46.0,0.0,18.0
6106001,9.0,-5.0,2.0,3.0,3.0,0.0,21.0,74.0,0.0,16.0
6106001,8.0,1.0,4.0,0.0,0.0,0.0,23.0,68.0,0.0,14.0
6106001,2.0,-8.0,-3.0,0.0,0.0,0.0,32.0,46.0,0.0,21.0
6106001,-3.0,-10.0,-6.0,0.0,0.0,0.0,28.0,39.0,0.0,24.0
6106001,8.0,-6.0,1.0,0.0,0.0,0.0,17.0,37.0,0.0,17.0
6106001,15.0,6.0,11.0,0.0,0.0,0.0,19.0,52.0,0.0,7.0
6106001,7.0,-6.0,0.0,0.0,0.0,0.0,28.0,42.0,0.0,18.0
6106001,0.0,-7.0,-3.0,12.0,5.0,8.0,6.0,39.0,0.0,21.0
6106001,1.0,-2.0,-1.0,5.0,3.0,1.0,29.0,46.0,0.0,19.0
6106001,-1.0,-12.0,-6.0,0.0,0.0,0.0,32.0,46.0,0.0,24.0
6106001,-0.0,-6.0,-3.0,8.0,0.0,10.0,7.0,37.0,0.0,21.0
6106001,2.0,-0.0,1.0,2.0,2.0,0.0,6.0,33.0,0.0,17.0
6106001,4.0,2.0,3.0,0.0,0.0,0.0,17.0,32.0,0.0,15.0
6106001,5.0,1.0,3.0,0.0,0.0,0.0,28.0,32.0,0.0,15.0
6106001,8.0,0.0,4.0,0.0,0.0,0.0,16.0,42.0,0.0,14.0
6106001,4.0,-0.0,2.0,12.0,12.0,0.0,4.0,52.0,0.0,16.0
6106001,5.0,1.0,3.0,6.0,6.0,0.0,18.0,33.0,0.0,15.0
6106001,1.0,-5.0,-2.0,2.0,0.0,2.0,27.0,42.0,0.0,20.0
6106001,3.0,-5.0,-1.0,0.0,0.0,0.0,24.0,50.0,0.0,19.0
6106001,3.0,0.0,2.0,4.0,4.0,0.0,20.0,33.0,0.0,16.0
6106001,1.0,-5.0,-2.0,0.0,0.0,0.0,34.0,42.0,0.0,20.0
6106001,-2.0,-6.0,-4.0,0.0,0.0,0.0,32.0,54.0,0.0,22.0
6106001,-3.0,-7.0,-5.0,0.0,0.0,0.0,33.0,32.0,0.0,23.0
6106001,-5.0,-9.0,-7.0,0.0,0.0,0.0,32.0,34.0,0.0,25.0
6106001,1.0,-6.0,-2.0,2.0,0.0,3.0,31.0,37.0,0.0,20.0
6106001,1.0,-1.0,0.0,0.0,0.0,0.0,30.0,39.0,0.0,18.0
6106001,4.0,-1.0,2.0,0.0,0.0,0.0,18.0,44.0,0.0,16.0
6106001,2.0,0.0,1.0,3.0,3.0,0.0,6.0,50.0,0.0,17.0
6106001,7.0,-4.0,1.0,0.0,0.0,0.0,23.0,54.0,0.0,17.0
6106001,-2.0,-6.0,-4.0,0.0,0.0,1.0,28.0,68.0,0.0,22.0
6106001,-6.0,-17.0,-11.0,0.0,0.0,0.0,28.0,58.0,0.0,29.0
6106001,-13.0,-18.0,-16.0,0.0,0.0,0.0,6.0,42.0,0.0,34.0
6106001,-6.0,-14.0,-10.0,0.0,0.0,0.0,5.0,39.0,0.0,28.0
6106001,-5.0,-16.0,-10.0,0.0,0.0,0.0,10.0,43.0,0.0,28.0
6106001,-4.0,-13.0,-8.0,0.0,0.0,0.0,15.0,47.0,0.0,26.0
6106001,1.0,-4.0,-1.0,2.0,0.0,3.0,21.0,50.0,0.0,19.0
6106001,3.0,0.0,2.0,1.0,0.0,0.0,26.0,54.0,0.0,16.0
6106001,2.0,-9.0,-3.0,0.0,0.0,0.0,31.0,58.0,0.0,21.0
6106001,-3.0,-11.0,-7.0,0.0,0.0,1.0,9.0,39.0,0.0,25.0
6106001,9.0,-3.0,3.0,26.0,26.0,0.0,16.0,48.0,0.0,15.0
6106001,6.0,-3.0,1.0,25.0,25.0,0.0,21.0,46.0,0.0,17.0
6106001,-3.0,-10.0,-6.0,0.0,0.0,0.0,26.0,50.0,0.0,24.0
6106001,-4.0,-10.0,-7.0,0.0,0.0,0.0,9.0,35.0,0.0,25.0
6106001,-5.0,-11.0,-8.0,1.0,0.0,2.0,21.0,55.0,0.0,26.0
6106001,-7.0,-12.0,-9.0,0.0,0.0,0.0,28.0,37.0,0.0,27.0
6106001,3.0,-9.0,-3.0,4.0,1.0,5.0,26.0,48.0,0.0,21.0
6106001,2.0,-6.0,-2.0,0.0,0.0,0.0,28.0,46.0,0.0,20.0
6106001,-0.0,-6.0,-3.0,2.0,0.0,2.0,7.0,37.0,0.0,21.0
6106001,-1.0,-7.0,-4.0,4.0,0.0,8.0,6.0,41.0,0.0,22.0
6106001,-2.0,-7.0,-5.0,0.0,0.0,0.0,13.0,40.0,0.0,23.0
6106001,-1.0,-4.0,-2.0,0.0,0.0,0.0,20.0,40.0,0.0,20.0
6106001,-2.0,-3.0,-3.0,0.0,0.0,1.0,26.0,40.0,0.0,21.0
6106001,-2.0,-5.0,-4.0,0.0,0.0,0.0,33.0,39.0,0.0,22.0
6106001,-3.0,-8.0,-5.0,0.0,0.0,0.0,33.0,37.0,0.0,23.0
6106001,-6.0,-13.0,-9.0,0.0,0.0,0.0,33.0,32.0,0.0,27.0
6106001,-2.0,-10.0,-6.0,0.0,0.0,0.0,33.0,37.0,0.0,24.0
6106001,-6.0,-11.0,-9.0,0.0,0.0,0.0,30.0,38.0,0.0,27.0
6106001,1.0,-6.0,-2.0,0.0,0.0,0.0,26.0,39.0,0.0,20.0
6106001,1.0,-2.0,-1.0,0.0,0.0,0.0,21.0,39.0,0.0,19.0
6106001,1.0,-3.0,-1.0,0.0,0.0,0.0,16.0,39.0,0.0,19.0
6106001,0.0,-1.0,-0.0,0.0,0.0,0.0,12.0,39.0,0.0,18.0
6106001,1.0,-2.0,-1.0,0.0,0.0,0.0,7.0,39.0,0.0,19.0
6106001,0.0,-1.0,-0.0,15.0,0.0,21.0,7.0,33.0,0.0,18.0
6106001,0.0,-7.0,-4.0,0.0,0.0,0.0,27.0,54.0,0.0,22.0
6106001,-8.0,-15.0,-11.0,0.0,0.0,0.0,27.0,33.0,0.0,29.0
6106001,-7.0,-16.0,-12.0,1.0,0.0,1.0,28.0,37.0,0.0,30.0
6106001,-9.0,-18.0,-14.0,0.0,0.0,0.0,28.0,41.0,0.0,32.0
6106001,-3.0,-14.0,-9.0,3.0,0.0,7.0,35.0,33.0,0.0,27.0
6106001,-2.0,-13.0,-8.0,0.0,0.0,0.0,30.0,41.0,0.0,26.0
6106001,-14.0,-18.0,-16.0,0.0,0.0,0.0,29.0,42.0,0.0,34.0
6106001,-10.0,-19.0,-15.0,0.0,0.0,0.0,29.0,48.0,0.0,33.0
6106001,-7.0,-13.0,-10.0,0.0,0.0,0.0,16.0,44.0,0.0,28.0
6106001,-4.0,-8.0,-6.0,4.0,0.0,8.0,4.0,39.0,0.0,24.0
6106001,-4.0,-9.0,-6.0,0.0,0.0,0.0,18.0,42.0,0.0,24.0
6106001,-8.0,-18.0,-13.0,0.0,0.0,0.0,32.0,45.0,0.0,31.0
6106001,-12.0,-20.0,-16.0,0.0,0.0,0.0,33.0,39.0,0.0,34.0
6106001,-12.0,-19.0,-15.0,0.0,0.0,0.0,23.0,37.0,0.0,33.0
6106001,-13.0,-22.0,-17.0,0.0,0.0,0.0,13.0,35.0,0.0,35.0
6106001,-6.0,-22.0,-14.0,0.0,0.0,0.0,3.0,33.0,0.0,32.0
6106001,1.0,-10.0,-5.0,2.0,0.0,3.0,4.0,48.0,0.0,23.0
6106001,1.0,-4.0,-2.0,2.0,0.0,3.0,33.0,39.0,0.0,20.0
6106001,1.0,-10.0,-5.0,0.0,0.0,0.0,26.0,51.0,0.0,23.0
6106001,2.0,-10.0,-4.0,2.0,0.0,3.0,20.0,63.0,0.0,22.0
6106001,-5.0,-12.0,-8.0,0.0,0.0,0.0,23.0,55.0,0.0,26.0
6106001,-5.0,-14.0,-9.0,2.0,0.0,4.0,30.0,45.0,0.0,27.0
6106001,-5.0,-13.0,-9.0,0.0,0.0,0.0,29.0,42.0,0.0,27.0
6106001,-6.0,-12.0,-9.0,1.0,0.0,1.0,29.0,38.0,0.0,27.0
6106001,-7.0,-17.0,-12.0,0.0,0.0,0.0,28.0,35.0,0.0,30.0
6106001,-9.0,-18.0,-14.0,0.0,0.0,0.0,30.0,33.0,0.0,32.0
6106001,-14.0,-23.0,-19.0,0.0,0.0,0.0,30.0,35.0,0.0,37.0
6106001,-12.0,-23.0,-18.0,0.0,0.0,1.0,31.0,38.0,0.0,36.0
6106001,-9.0,-17.0,-13.0,1.0,0.0,3.0,31.0,40.0,0.0,31.0
6106001,-5.0,-12.0,-8.0,3.0,0.0,3.0,32.0,43.0,0.0,26.0
6106001,-8.0,-15.0,-11.0,16.0,0.0,20.0,32.0,45.0,0.0,29.0
6106001,-7.0,-21.0,-14.0,0.0,0.0,0.0,28.0,33.0,0.0,32.0
6106001,-5.0,-18.0,-11.0,0.0,0.0,0.0,28.0,33.0,0.0,29.0
6106001,-7.0,-12.0,-9.0,2.0,0.0,6.0,29.0,32.0,0.0,27.0
6106001,-4.0,-14.0,-9.0,0.0,0.0,0.0,29.0,32.0,0.0,27.0
6106001,-1.0,-16.0,-8.0,0.0,0.0,0.0,26.0,32.0,0.0,26.0
6106001,1.0,-8.0,-4.0,4.0,0.0,6.0,24.0,32.0,0.0,22.0
6106001,2.0,-0.0,1.0,1.0,0.0,1.0,26.0,39.0,0.0,17.0
6106001,2.0,-3.0,-1.0,10.0,0.0,13.0,32.0,48.0,0.0,19.0
6106001,-3.0,-12.0,-8.0,0.0,0.0,0.0,32.0,42.0,0.0,26.0
6106001,1.0,-16.0,-7.0,0.0,0.0,0.0,30.0,50.0,0.0,25.0
6106001,3.0,-13.0,-5.0,5.0,0.0,8.0,29.0,58.0,0.0,23.0
6106001,4.0,-8.0,-2.0,1.0,1.0,0.0,15.0,41.0,0.0,20.0
6158731,11.0,0.0,6.0,4.0,2.0,1.0,26.0,76.0,0.0,12.0
6158731,7.0,-2.0,3.0,0.0,0.0,0.0,27.0,81.0,0.0,15.0
6158731,7.0,4.0,6.0,0.0,0.0,0.0,28.0,52.0,0.0,12.0
6158731,20.0,2.0,11.0,0.0,0.0,0.0,22.0,45.0,0.0,7.0
6158731,19.0,11.0,15.0,0.0,0.0,0.0,21.0,35.0,0.0,3.0
6158731,21.0,9.0,15.0,0.0,0.0,0.0,24.0,35.0,0.0,3.0
6158731,21.0,9.0,15.0,0.0,0.0,0.0,25.0,35.0,0.0,3.0
6158731,20.0,6.0,13.0,0.0,0.0,0.0,24.0,35.0,0.0,5.0
6158731,20.0,7.0,13.0,0.0,0.0,0.0,23.0,35.0,0.0,5.0
6158731,24.0,8.0,16.0,0.0,0.0,0.0,22.0,35.0,0.0,2.0
6158731,18.0,6.0,12.0,1.0,1.0,0.0,26.0,46.0,0.0,6.0
6158731,10.0,4.0,7.0,0.0,0.0,0.0,28.0,46.0,0.0,11.0
6158731,9.0,3.0,6.0,0.0,0.0,0.0,29.0,46.0,0.0,12.0
6158731,8.0,0.0,4.0,0.0,0.0,0.0,12.0,39.0,0.0,14.0
6158731,13.0,3.0,8.0,10.0,10.0,0.0,23.0,91.0,0.0,10.0
6158731,4.0,1.0,3.0,0.0,0.0,0.0,25.0,68.0,0.0,15.0
6158731,3.0,-5.0,-1.0,1.0,0.0,1.0,30.0,74.0,0.0,19.0
6158731,2.0,-6.0,-2.0,0.0,0.0,0.0,28.0,66.0,0.0,20.0
6158731,15.0,2.0,8.0,0.0,0.0,0.0,25.0,59.0,0.0,10.0
6158731,18.0,6.0,12.0,0.0,0.0,0.0,27.0,52.0,0.0,6.0
6158731,6.0,0.0,3.0,0.0,0.0,0.0,30.0,42.0,0.0,15.0
6158731,2.0,-1.0,0.0,19.0,0.0,19.0,34.0,41.0,0.0,18.0
6158731,4.0,-4.0,-0.0,0.0,0.0,0.0,29.0,41.0,0.0,18.0
6158731,2.0,-2.0,0.0,1.0,0.0,1.0,12.0,37.0,0.0,18.0
6158731,8.0,1.0,5.0,7.0,7.0,0.0,19.0,39.0,0.0,13.0
6158731,12.0,7.0,9.0,1.0,1.0,0.0,26.0,41.0,0.0,9.0
6158731,8.0,5.0,6.0,0.0,0.0,0.0,26.0,41.0,0.0,12.0
6158731,7.0,2.0,4.0,0.0,0.0,0.0,26.0,41.0,0.0,14.0
6158731,11.0,1.0,6.0,0.0,0.0,0.0,20.0,39.0,0.0,12.0
6158731,6.0,-1.0,2.0,22.0,21.0,1.0,35.0,58.0,0.0,16.0
6158731,-0.0,-2.0,-1.0,8.0,0.0,10.0,35.0,55.0,0.0,19.0
6158731,4.0,-1.0,1.0,1.0,0.0,9.0,32.0,52.0,0.0,17.0
6158731,4.0,-2.0,1.0,0.0,0.0,8.0,27.0,46.0,0.0,17.0
6158731,3.0,-0.0,2.0,4.0,0.0,8.0,23.0,32.0,0.0,16.0
6158731,2.0,-4.0,-1.0,0.0,0.0,7.0,36.0,48.0,0.0,19.0
6158731,1.0,-6.0,-3.0,0.0,0.0,6.0,34.0,39.0,0.0,21.0
6158731,1.0,-6.0,-3.0,0.0,0.0,6.0,33.0,45.0,0.0,21.0
6158731,2.0,-7.0,-2.0,0.0,0.0,5.0,22.0,39.0,0.0,20.0
6158731,4.0,0.0,2.0,4.0,0.0,4.0,28.0,42.0,0.0,16.0
6158731,6.0,1.0,3.0,0.0,0.0,0.0,27.0,43.0,0.0,15.0
6158731,9.0,1.0,5.0,0.0,0.0,0.0,26.0,45.0,0.0,13.0
6158731,9.0,3.0,6.0,8.0,8.0,0.0,25.0,46.0,0.0,12.0
6158731,5.0,-1.0,2.0,0.0,0.0,0.0,29.0,54.0,0.0,16.0
6158731,2.0,-2.0,-0.0,0.0,0.0,0.0,27.0,59.0,0.0,18.0
6158731,-2.0,-8.0,-5.0,0.0,0.0,0.0,30.0,37.0,0.0,23.0
6158731,-6.0,-9.0,-7.0,1.0,0.0,1.0,6.0,52.0,0.0,25.0
6158731,-3.0,-8.0,-5.0,1.0,0.0,1.0,10.0,51.0,0.0,23.0
6158731,-1.0,-10.0,-6.0,0.0,0.0,0.0,15.0,50.0,0.0,24.0
6158731,2.0,-2.0,0.0,2.0,0.0,2.0,20.0,49.0,0.0,18.0
6158731,5.0,-0.0,2.0,1.0,1.0,0.0,24.0,48.0,0.0,16.0
6158731,4.0,-1.0,2.0,0.0,0.0,0.0,28.0,54.0,0.0,16.0
6158731,3.0,-1.0,1.0,0.0,0.0,0.0,32.0,61.0,0.0,17.0
6158731,6.0,0.0,3.0,2.0,2.0,0.0,15.0,39.0,0.0,15.0
6158731,10.0,-3.0,3.0,12.0,7.0,4.0,23.0,50.0,0.0,15.0
6158731,-0.0,-5.0,-3.0,8.0,0.0,9.0,26.0,58.0,0.0,21.0
6158731,-2.0,-6.0,-4.0,2.0,0.0,2.0,24.0,54.0,0.0,22.0
6158731,2.0,-4.0,-1.0,1.0,1.0,0.0,12.0,41.0,0.0,19.0
6158731,4.0,-4.0,0.0,5.0,5.0,0.0,28.0,67.0,0.0,18.0
6158731,-1.0,-6.0,-3.0,0.0,0.0,0.0,29.0,37.0,0.0,21.0
6158731,5.0,-4.0,1.0,3.0,2.0,2.0,29.0,59.0,0.0,17.0
6158731,2.0,-3.0,-1.0,0.0,0.0,0.0,29.0,54.0,0.0,19.0
6158731,2.0,-4.0,-1.0,8.0,5.0,3.0,11.0,46.0,0.0,19.0
6158731,1.0,-2.0,-1.0,7.0,4.0,4.0,33.0,42.0,0.0,19.0
6158731,1.0,-1.0,0.0,2.0,0.0,1.0,34.0,43.0,0.0,18.0
6158731,1.0,-1.0,0.0,0.0,0.0,0.0,34.0,44.0,0.0,18.0
6158731,1.0,-0.0,0.0,0.0,0.0,0.0,34.0,45.0,0.0,18.0
6158731,2.0,-1.0,0.0,0.0,0.0,0.0,35.0,46.0,0.0,18.0
6158731,-1.0,-7.0,-4.0,0.0,0.0,0.0,35.0,39.0,0.0,22.0
6158731,-4.0,-9.0,-6.0,0.0,0.0,0.0,36.0,35.0,0.0,24.0
6158731,3.0,-4.0,-0.0,0.0,0.0,0.0,36.0,33.0,0.0,18.0
6158731,2.0,-6.0,-2.0,0.0,0.0,0.0,32.0,37.0,0.0,20.0
6158731,0.0,-6.0,-3.0,0.0,0.0,0.0,27.0,41.0,0.0,21.0
6158731,-1.0,-2.0,-2.0,0.0,0.0,0.0,25.0,32.0,0.0,20.0
6158731,3.0,-1.0,1.0,0.0,0.0,0.0,24.0,39.0,0.0,17.0
6158731,5.0,-1.0,2.0,0.0,0.0,0.0,11.0,33.0,0.0,16.0
6158731,6.0,1.0,3.0,5.0,5.0,0.0,11.0,48.0,0.0,15.0
6158731,5.0,-3.0,1.0,0.0,0.0,0.0,28.0,48.0,0.0,17.0
6158731,4.0,-3.0,1.0,1.0,0.0,1.0,29.0,48.0,0.0,17.0
6158731,1.0,-5.0,-2.0,0.0,0.0,0.0,22.0,45.0,0.0,20.0
6158731,-1.0,-6.0,-3.0,1.0,0.0,1.0,26.0,58.0,0.0,21.0
6158731,-2.0,-8.0,-5.0,0.0,0.0,0.0,32.0,45.0,0.0,23.0
6158731,3.0,-2.0,1.0,0.0,0.0,0.0,26.0,46.0,0.0,17.0
6158731,1.0,-8.0,-3.0,0.0,0.0,0.0,29.0,58.0,0.0,21.0
6158731,-5.0,-13.0,-9.0,0.0,0.0,0.0,30.0,48.0,0.0,27.0
6158731,-3.0,-7.0,-5.0,0.0,0.0,0.0,22.0,49.0,0.0,23.0
6158731,2.0,-4.0,-1.0,0.0,0.0,0.0,14.0,49.0,0.0,19.0
6158731,-0.0,-5.0,-3.0,7.0,0.0,9.0,6.0,50.0,0.0,21.0
6158731,-3.0,-10.0,-7.0,0.0,0.0,0.0,33.0,35.0,0.0,25.0
6158731,-8.0,-14.0,-11.0,0.0,0.0,0.0,31.0,58.0,0.0,29.0
6158731,-7.0,-15.0,-11.0,0.0,0.0,0.0,36.0,41.0,0.0,29.0
6158731,-2.0,-14.0,-8.0,0.0,0.0,0.0,22.0,44.0,0.0,26.0
6158731,-5.0,-11.0,-8.0,0.0,0.0,0.0,8.0,46.0,0.0,26.0
6158731,-4.0,-11.0,-8.0,0.0,0.0,0.0,2.0,33.0,0.0,26.0
6158731,-1.0,-10.0,-5.0,0.0,0.0,0.0,33.0,67.0,0.0,23.0
6158731,1.0,-6.0,-3.0,0.0,0.0,0.0,35.0,61.0,0.0,21.0
6158731,4.0,-7.0,-2.0,1.0,0.0,1.0,11.0,42.0,0.0,20.0
6158731,2.0,-8.0,-3.0,5.0,3.0,2.0,22.0,65.0,0.0,21.0
6158731,-6.0,-9.0,-8.0,0.0,0.0,0.0,23.0,61.0,0.0,26.0
6158731,-6.0,-13.0,-10.0,1.0,0.0,1.0,27.0,46.0,0.0,28.0
6158731,-6.0,-13.0,-10.0,0.0,0.0,0.0,29.0,43.0,0.0,28.0
6158731,-3.0,-11.0,-7.0,1.0,0.0,1.0,31.0,40.0,0.0,25.0
6158731,-5.0,-13.0,-9.0,0.0,0.0,0.0,33.0,38.0,0.0,27.0
6158731,-5.0,-11.0,-8.0,0.0,0.0,0.0,35.0,35.0,0.0,26.0
6158731,-8.0,-14.0,-11.0,2.0,0.0,2.0,26.0,38.0,0.0,29.0
6158731,-9.0,-14.0,-12.0,2.0,0.0,5.0,18.0,40.0,0.0,30.0
6158731,-4.0,-15.0,-9.0,0.0,0.0,0.0,10.0,43.0,0.0,27.0
6158731,-4.0,-10.0,-7.0,3.0,0.0,3.0,1.0,46.0,0.0,25.0
6158731,-7.0,-15.0,-11.0,9.0,0.0,9.0,36.0,54.0,0.0,29.0
6158731,-6.0,-13.0,-9.0,8.0,0.0,8.0,35.0,53.0,0.0,27.0
6158731,-4.0,-10.0,-7.0,8.0,0.0,8.0,34.0,52.0,0.0,25.0
6158731,-2.0,-7.0,-5.0,8.0,0.0,8.0,33.0,51.0,0.0,23.0
6158731,-2.0,-11.0,-7.0,0.0,0.0,0.0,32.0,50.0,0.0,25.0
6158731,-2.0,-12.0,-7.0,0.0,0.0,0.0,29.0,54.0,0.0,25.0
6158731,3.0,-2.0,1.0,5.0,1.0,5.0,26.0,59.0,0.0,17.0
6158731,4.0,-1.0,2.0,0.0,0.0,0.0,27.0,50.0,0.0,16.0
6158731,8.0,-1.0,4.0,0.0,0.0,0.0,26.0,67.0,0.0,14.0
6158731,1.0,-4.0,-1.0,0.0,0.0,0.0,30.0,54.0,0.0,19.0
6158731,4.0,-7.0,-2.0,0.0,0.0,0.0,28.0,53.0,0.0,20.0
6158731,6.0,-1.0,3.0,6.0,6.0,0.0,27.0,52.0,0.0,15.0
6158731,6.0,-2.0,2.0,1.0,1.0,0.0,30.0,46.0,0.0,16.0
